city,rooms,square,price,link,township,title
Beograd,4,125.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivni-stanovi-na-vracaru--40--garaza-cena-sa-svim-troskovima/NktsIr93VKO/,Vračar (Hram),Ekskluzivni stanovi na Vracaru / 4.0 / garaza - cena sa svim troskovima
Beograd,4,250.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-stanovi-na-vracaru--40--sauna-kalenic/NkSXA5WwuAC/,Vračar (Centar),Luksuzni stanovi na Vracaru / 4.0 / SAUNA - Kalenic
Beograd,5,250.0,2300,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivan-penthaus--4-spavace--ogromna-terasa-retko-u-ponudi/Nkh2Yw3wWIZ/,Vračar (Hram),Ekskluzivan penthaus / 4 spavace / Ogromna terasa/ Retko u ponudi
Beograd,4,175.0,2800,https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivni-stanovi-na-vracaru--40--2-garazna/NkPhHxUrNMR/,Vračar (Hram),Ekskluzivni stanovi na Vracaru / 4.0 / 2 garazna
Beograd,4,145.0,2300,https://www.nekretnine.rs/stambeni-objekti/stanovi/luxurious-3-bedrooms-apartment--all-bills-included/Nkites5Nz1F/,Vračar (Hram),Luxurious 3 bedrooms apartment / ALL BILLS INCLUDED
Beograd,2,56.0,1000,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-beograd-na-vodi--20--garaza-aurora/Nk6X2oW79QT/,Beograd na vodi,Izdavanje luksuznih stanova - Beograd na vodi / 2.0 / garaza - AURORA
Beograd,4,200.0,3000,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--2-garazna-hram/Nk5kOA0qGqT/,Vračar (Hram),Izdavanje luksuznih stanova na Vracaru / 4.0 / 2 garazna - HRAM
Beograd,4,240.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-na-vracaru--40--sauna--kalenic/NkaA94aU0L_/,Vračar (Centar),Izdavanje luksuznih stanova na Vracaru / 4.0 / Sauna / Kalenic
Beograd,5,222.0,2300,https://www.nekretnine.rs/stambeni-objekti/stanovi/luksuzni-stanovi-na-vracaru--penthaus--50--bazen/NkYhLDlcFT4/,Južni bulevar,Luksuzni stanovi na Vracaru / PENTHAUS / 5.0 / BAZEN
Beograd,2,67.0,1500,https://www.nekretnine.rs/stambeni-objekti/stanovi/elite-nekretnine--izdavanje-lux-stana-u-novogradnji-beograd-na-vodi/Nkr9ork23ga/,Beograd na vodi,ELITE nekretnine / Izdavanje lux stana u novogradnji-Beograd na vodi.
Beograd,2,56.0,1250,https://www.nekretnine.rs/stambeni-objekti/stanovi/elite--izdavanje-lux-dvosobnog-stana-novi-beograd-wellport/NkH-mkMp5M6/,Novi Beograd Blok 65,ELITE / Izdavanje lux dvosobnog stana-Novi Beograd WELLPORT
Beograd,3,107.0,2000,https://www.nekretnine.rs/stambeni-objekti/stanovi/elite--luksuzni-stanovi-vracarcrveni-krst-penthouse/NkQFqXTzTA4/,Crveni krst,"ELITE / LUKSUZNI STANOVI VRACAR/CRVENI KRST,PENTHOUSE"
Beograd,3,92.0,2000,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-elite-nekretnine-trosoban-lux-stan-sa-saunom-arena/Nktgca2rKDV/,Novi Beograd Blok 25 (Arena),Izdavanje ELITE nekretnine-Trosoban lux stan sa saunom Arena
Beograd,4,130.0,2000,https://www.nekretnine.rs/stambeni-objekti/stanovi/elite-nekretnine-izdaju-cetvorosoban-lux-stan-duplex-arena-novi-beograd/NkXY0VweKiJ/,Novi Beograd Blok 25 (Arena),Elite nekretnine Izdaju  cetvorosoban lux stan duplex Arena Novi Beograd
Beograd,4,240.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/elite-nekretnineizdavanje-luksuzan-duplex-penthouse-vracar-beograd/NkBInRwwwRI/,Vračar (Centar),ELITE nekretnine/Izdavanje Luksuzan duplex-Penthouse Vracar Beograd
Beograd,2,52.0,700,https://www.nekretnine.rs/stambeni-objekti/stanovi/savada-3-52m2-sa-lodom-20-nov-blok-64/Nk1UHMCXKU9/,Novi Beograd,"Savada 3, 52m2 sa lođom, 2.0 nov, blok 64"
Beograd,4,121.0,2500,https://www.nekretnine.rs/stambeni-objekti/stanovi/izdavanje-luksuznih-stanova-beograd-na-vodi--40-2-garazna-aurora/NkrLZUbo8ST/,Beograd na vodi,Izdavanje luksuznih stanova - Beograd na vodi  / 4.0 /2 garazna - AURORA
