city,rooms,total_price,link,condition,heating,township,place,street
Beograd,2.0,1000,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/621e747b735055138478abc3,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,2.0,1200,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/62505127af490723e746faa3,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovacka
Beograd,3.0,2500,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hercegovacka/625549332f744d23006cbc73,namešteno,centralno,Savski Venac,Beograd na vodi,Hercegovačka
Niš,1.0,350,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/jovana-ristica/61bddc940184af49de7ba96a,namešteno,etažno,Gradske lokacije,Kičevo,Jovana Ristića
Niš,3.5,380,https://www.4zida.rs/izdavanje/stanovi/nis/oglas/vizantijski-bulevar/620b8df8dc6a9e398a10bb88,namešteno,centralno,Gradske lokacije,Duvanište,Vizantijski Bulevar
Novi Sad,2.0,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/danila-kisa/625571003e7da92f39779f83,namešteno,centralno,Gradske lokacije,Grbavica,Danila Kiša
Beograd,3.0,1450,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/diane-budisavljevic/62540cb70a3c407423294ee7,namešteno,centralno,Savski Venac,Dedinje,Diane Budisavljevic
Beograd,2.0,550,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/hram-svetog-save/61dc42c141f952617c53c17f,namešteno,centralno,Vračar,Neimar,Hram Svetog Save
Beograd,3.0,2800,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/gospodarjovanova/6234a89e9dec205c024f93ed,namešteno,centralno,Stari Grad opština,Kosančićev Venac,Gospodar-jovanova
Beograd,2.0,400,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/marka-celebonovica/624ade68e2888476ab110213,namešteno,centralno,Novi Beograd,Bežanijska kosa,Marka Čelebonovića
Beograd,3.0,650,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/antifasisticke-borbe/624c2a0b857f3d25fa58bd98,prazno,centralno,Novi Beograd,Blok 22,Antifašističke Borbe
Beograd,4.0,750,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/bulevar-arsenija-carnojevica/623c5ca2babd4279d650e248,namešteno,centralno,Novi Beograd,Blok 33 - Geneks,Bulevar Arsenija Čarnojevića
Beograd,6.0,900,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/spanskih-boraca/6232249e4985617a1b69861d,polunamešteno,centralno,Novi Beograd,Blok 29,Španskih Boraca
Novi Sad,1.5,280,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/bulevar-oslobodjenja/619b70b3444ec31b403044b5,namešteno,centralno,Gradske lokacije,Gradske lokacije,Bulevar Oslobođenja
Novi Sad,2.0,300,https://www.4zida.rs/izdavanje/stanovi/novi-sad/oglas/bulevar-evrope/62544079a8dadd485c35e6a3,namešteno,na gas,Gradske lokacije,Gradske lokacije,Bulevar Evrope
Beograd,3.0,650,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/djevdjelijska/6143b3454a824b3a3c7fcf49,namešteno,centralno,Zvezdara opština,Đeram,Djevdjelijska
Beograd,5.0,2300,https://www.4zida.rs/izdavanje/stanovi/beograd/oglas/juzni-bulevar/5fd4b2910c7cde56cb1938de,namešteno,centralno,Vračar,Južni Bulevar,Juzni Bulevar
